,CATEGORY,Title,Date,Views,Introduction,Text (1st paragraph)
40,Город,Главгосэкспертизе не понравились документы по станции метро «Спортивная» — что говорят в мэрии,"26 февраля 2024, 17:48",10464,Сдать станцию метро планируют в этом году,"Главгосэкспертизе не понравились документы, представленные по станции метро «Спортивная» в Новосибирске. Специалисты посчитали, что внесенные изменения были недостаточно обоснованы."
41,—,—,—,—,—,—
42,Криминал,"«Экспертизы будут 9 месяцев»: возбуждено дело из-за сибирячки, потерявшей дочь на пятом месяце беременности","27 февраля 2024, 12:43",2489,"Женщина настаивает, что при должной медпомощи она бы не лишилась ребенка","Следователи возбудили уголовное дело из-за сибирячки, которая потеряла ребенка на пятом месяце беременности. Об этом корреспонденту НГС сообщила сама Надежда Шевелёва. "
43,Происшествия,Новосибирец сжег шесть машин в Барнауле — ему заплатили 100 тысяч рублей,"26 февраля 2024, 15:55",9978,"Сумма ущерба от действий новосибирца составила почти 10,5 миллионов рублей","Суд в Барнауле продлил срок содержания под стражей для жителя Новосибирска, который обвиняется в поджоге шести автомобилей. Информацию об этом распространила Объединенная пресс-служба судов Алтайского края."
44,Культура,"«Вы гангстеры?» Посмотрите, как Данила Багров вновь путешествует по центру Москвы","26 февраля 2024, 19:00",10962,К 65-летию Алексея Балабанова мы воссоздали сцены из «Брата-2»,"25 февраля один из самых скандальных и культовых режиссеров современности Алексей Балабанов отметил бы свое 65-летие. Его ненавидели так же сильно, как и любили. А его сиквел «Брат» стал новым русским мифом с национальным героем в лице Данилы Багрова. В память о режиссере корреспондент MSK1.RU Екатерина Фадеева прошлась по «балабановским» местам в Москве и перенесла туда героев фильма «Брат-2» (18+)."
45,—,—,—,—,—,—
46,Криминал,Многодетную мать обвинили в истязании дочери в Сибири — девочка рассказала о побоях в школе,"26 февраля 2024, 23:20",7328,"Одним из поводов стало то, что школьница якобы не слушалась мать","В Республике Алтай вынесли приговор по уголовному делу местной жительницы. Ее обвинили в истязании дочери и ненадлежащем исполнении родительских обязанностей, сообщили в пресс-службе СУ СК РФ по региону."
47,Здоровье,«Захотели грызть мел? Бегите к врачу»: гастроэнтеролог предупредил об опасности изменения пищевых пристрастий,"26 февраля 2024, 15:30",3488,Альбина Давыдова не рекомендует есть школьный мел и тем более питаться им на меловых горах,"Все знают, что не найти более искусного и постоянно меняющего вкусы гурмана, чем беременные женщины. Именно про них слагают легенды, как в час ночи они хотят шпроты со сливками или облизать свежий асфальт. Но самый распространенный миф — что они любят грызть школьный мел и даже специально ездят на меловые горы, чтобы обеспечить организм кальцием. Однако кандидат медицинских наук, доцент кафедры педиатрии и неонатологии Института НМФО ВолгГМУ Альбина Давыдова рекомендует при возникновении острой тяги к мелу не бросаться к школе, а обратиться к врачу, как только вкусовые предпочтения вдруг стали меняться. И это касается не только беременных, а вообще всех. "
48,Дороги и транспорт,Один раньше загорается красным: жительница Новосибирска назвала светофоры причиной аварий на Немировича-Данченко,"27 февраля 2024, 07:20",4490,"По словам сибирячки, когда на одном светофоре загорается красный, на другом еще светит зеленый","Новосибирские водители столкнулись со сложностями из-за светофоров на перекрестке улиц Немировича-Данченко и Таймырской. Автомобили не всегде могут там безопасно поворачивать: один из светофоров загорается красным раньше, чем другой. На это обратила внимание читательница НГС. По ее мнению, такая их работа может быть причиной частых аварий."
49,Зима,Перепад в 20 градусов: в Новосибирск возвращается тепло — прогноз синоптиков,"26 февраля 2024, 15:30",13556,Температура начнет повышаться на этой неделе,На этой неделе в Новосибирск и область придет потепление. В четверг температура может подняться до -2 градусов.
